Dataset,Method,R²,R² std,RMSE,RMSE std,MAE,MAE std,Spearman,Spearman std
tecator,Linear-MLP,0.9927977897230056,0.0030155161728465155,1.2529071616306753,0.2795823291415327,0.9312174356714564,0.18144916959438115,0.9896273728477718,0.0068510148793973465
space_ga,Linear-MLP,0.7107149973478658,0.030489220910787155,0.10555096637817112,0.007019076973016605,0.0786130462058386,0.005275917121247195,0.8488800635108072,0.014346487204431142
boston,Linear-MLP,0.856130798738876,0.0567982678215378,3.2028924572846735,0.6912200499400091,2.1752872246729105,0.29862043357991014,0.8887627730362222,0.03392500112050915
socmob,Linear-MLP,0.6742893430959697,0.12438648976372653,24.78846416931126,9.088177477071055,11.33906645223659,2.3490500979323854,0.7317470388210109,0.11102162398266328
sensory,Linear-MLP,-0.006978334565377475,0.11775469967971501,0.7969993182925675,0.05915902594152058,0.6379286059631235,0.05763683622608793,0.16831189411998423,0.16539190745943502
no2,Linear-MLP,0.42626107844603356,0.11315185413318367,0.5282571582069356,0.04095092019810056,0.41729452839129955,0.03800755613318321,0.6889612176222208,0.04390501390375975
quake,Linear-MLP,-0.005335418462821295,0.01612872764818361,0.18524631484147996,0.01094177327645163,0.14685347018985503,0.006754016553751172,0.028451283465111464,0.04335774541840485
house_16H,Linear-MLP,0.5746836700380393,0.05347055947767573,34668.506838675865,3719.1116559192164,17245.683559491492,1248.476795547388,0.7930756535437269,0.0241699545104804
SWD,Linear-MLP,0.393280212447899,0.0836795290099771,0.6328350459857178,0.04486808211031385,0.5125213236788322,0.03430278755278421,0.6280721959731632,0.06370156567809711
ERA,Linear-MLP,0.3449694678186951,0.08194881715052109,1.6270492004854855,0.10099979534936927,1.3114483965714527,0.08420810125188917,0.5441451358274276,0.06618175894467697
FacultySalaries,Linear-MLP,-0.02767253859674068,1.564524944449047,2.548384639039702,0.9369784649782694,2.097389388037377,0.7233772177887184,0.4259092423229804,0.6576443219141862
wine_quality,Linear-MLP,0.0178153432339062,0.019861273615580977,11477.318474460371,5590.595375068747,3047.7447563167166,302.7192067806982,0.2983835601512159,0.024608890174767032
Moneyball,Linear-MLP,0.8975750388211402,0.023932361567338946,25.745368781090228,3.2457088821338287,20.068601052716563,2.27117190624748,0.9447792006207301,0.013499163241277317
black_friday,Linear-MLP,0.43390620567454974,0.029491437591611207,3820.1960010544876,110.1831692663842,2964.922424701787,70.88264669426272,0.6168405504662186,0.02252917322183692
wine-quality-white,Linear-MLP,0.969685067391433,0.023424249904092566,4571.111662503873,2155.688932532713,1549.424685655381,566.9787797386894,0.6225182085898504,0.05785812444442492
diamonds,Linear-MLP,0.9723156196740519,0.005833549536444149,656.8419486151513,69.61956102796144,371.05190381627204,39.98829886032673,0.9868021867971966,0.003219342517025935
Mercedes_Benz_Greener_Manufacturing,Linear-MLP,0.8602148737180872,0.09214123569467461,31197.79873392215,10784.025909027754,18389.700363583488,2618.5771397552994,0.9440320275442794,0.01819138933298759
Brazilian_houses,Linear-MLP,0.5471342259826223,0.07076341602894043,8.368504360457626,1.3344881528277273,5.546206169740925,0.33731961070545136,0.7488188135410632,0.02845739808606804
Bike_Sharing_Demand,Linear-MLP,0.4529302498609571,0.0810779382158251,2297.5351236107826,502.9801762565551,1303.0754733502229,65.56252729389783,0.677490832715123,0.010243501762587374
abalone,Linear-MLP,0.996992780694228,0.0038636778134058204,284.07822551584024,242.41871851896735,126.47982990733308,57.82529014629363,0.9980301258950013,0.0024162472915464166
us_crime,Linear-MLP,0.572552394285696,0.02348071960091856,2.1168234344830856,0.14159761816974442,1.4749886945898294,0.0723730400502142,0.7807327764016084,0.018789158867951915
nyc-taxi-green-dec-2016,Linear-MLP,0.016678294997395114,0.009128721749747352,28.12666840315135,3.2178602329417645,13.91334637853024,0.8147593153695282,0.1601901492491913,0.0305609076899004
yprop_4_1,Linear-MLP,0.7710221383066405,0.055210980056960894,0.13127182507897647,0.018848837960529274,0.09360991645862653,0.01113155755472779,0.8589557039598482,0.03169554344573567
analcatdata_supreme,Linear-MLP,0.8695114958007781,0.014812650380890285,138648.62098587217,11826.894885774162,76341.13913077148,4140.88273526706,0.9372500079644087,0.00677508768129741
elevators,Linear-MLP,0.91828972839378,0.007216438423755353,0.0019219645397039794,5.471830509128089e-05,0.0014255687624865124,3.5393411173921074e-05,0.8286364590243573,0.011768041700472475
kin8nm,Linear-MLP,0.9117794674909334,0.005827660621271613,0.0774930816871914,0.002719290549251578,0.06127784001578751,0.002119794843003538,0.9560183527789956,0.003677153436335813
houses,Linear-MLP,0.8028500112869924,0.009018833557710701,51032.40095101943,1185.3412525760348,34066.91866248912,691.8207791002357,0.902037165014602,0.005577036057956191
california_housing,Linear-MLP,0.8591969413274592,0.09710427280705995,31202.95614784596,11324.407449575507,17869.05039069613,2428.849700220535,0.9484452969438323,0.015431678060853198
delays_zurich_transport,Linear-MLP,0.03523428930583546,0.0447780217074278,214.88121171550125,188.1723414633395,70.34150592108313,6.838061383052378,0.2613099680101617,0.028133557077273077
pol,Linear-MLP,0.9970721374548439,0.0004350694094709693,2.250345554962703,0.14956974963431793,0.9076108262726468,0.05604523686310331,0.8621562761554221,0.006147649211126022
bank8FM,Linear-MLP,0.9644037398813665,0.001859207549188183,0.028654044394563843,0.0006566355355485901,0.02090134940712219,0.0005990298204754253,0.981578313374299,0.0010510262595842133
cpu_act,Linear-MLP,0.9822091139564652,0.0021781482413143548,2.4133472291578726,0.08066866972329624,1.7604094722090164,0.0677881927161495,0.9542395816484548,0.0031857953013785284
topo_2_1,Linear-MLP,0.05169926679561783,0.025308967122175723,0.0296582160368281,0.005266218133148079,0.01940027499529023,0.0002471000565659087,0.2352884312301796,0.02855496541779187
superconduct,Linear-MLP,0.8857397776553944,0.012852207533048833,11.503613408499817,0.7065947679163563,6.854039133749504,0.4118873535505088,0.9388181545214852,0.005584726168197435
jannis,Linear-MLP,0.5482903885755445,0.06979609559489934,8.362076547320601,1.3514394097305245,5.458613725153439,0.3102951640356031,0.7510210226265275,0.02674499039060913
pumadyn32nm,Linear-MLP,0.5898464111766664,0.020885115991645383,0.022998669734484216,0.0005131198434579868,0.01830841508952562,0.00045444269249263295,0.7424684298401656,0.016101200541591178
MIP-2016-regression,Linear-MLP,0.969685067391433,0.023424249904092566,4571.111662503873,2155.688932532713,1549.424685655381,566.9787797386894,0.6225182085898504,0.05785812444442492
OnlineNewsPopularity,Linear-MLP,0.021906996055840077,0.01627591151435533,11441.642129997126,5544.302633672354,3070.4944890864795,355.85290858453163,0.29658631861054835,0.02545225337397358
Yolanda,Linear-MLP,0.28592499914977243,0.03404196842524507,9.418554030978205,0.29533628102110404,6.520443976974306,0.21270405858395183,0.5465238591171815,0.024333550528663483
