Dataset,Method,Accuracy,Accuracy std,F1,F1 std,AUC,AUC std
mfeat-karhunen,RW-ResNet,0.9644999999999999,0.010828203913853867,0.9642644249377241,0.010968612580585537,0.9985305555555557,0.0007263185115683608
mfeat-karhunen,NODE,0.9555,0.012737739202856991,0.9554570002906271,0.01281862352356694,0.9959583333333335,0.0019872762705040806
mfeat-karhunen,RW-NODE,0.9425000000000001,0.016918924315688595,0.9424181336221222,0.016938304877094832,0.9948416666666666,0.0023394776904679324
mfeat-morphological,XGBoost,0.6885,0.03428191943284389,0.6852648758760792,0.0346542678796197,0.9584194444444446,0.0060955667203284125
mfeat-morphological,CatBoost,0.7255,0.037712729946266156,0.7212386520446642,0.03581879669743675,0.9618333333333334,0.00807750840143843
mfeat-morphological,LightGBM,0.6859999999999999,0.030315012782448223,0.683686773752831,0.029744175131123384,0.9574138888888888,0.00540413721828695
mfeat-morphological,RandomForest,0.693,0.03249615361854383,0.6891676210007848,0.03167774311708919,0.9585680555555556,0.00641797560603262
mfeat-morphological,MLP,0.747,0.03536947836765479,0.7364321022569162,0.0320073550089498,0.9678888888888888,0.005604176132444165
mfeat-morphological,RW-MLP,0.749,0.030561413579872278,0.7389850108119698,0.028124356826664632,0.9674888888888888,0.0059423178958474075
mfeat-morphological,Linear-MLP,0.729,0.03284813541131368,0.7134621366841476,0.028513398773988653,0.9643527777777778,0.007596102903528065
mfeat-morphological,FT-Transformer,0.741,0.0239582971014219,0.7239613099690666,0.031058713580914214,0.9665777777777779,0.005545390700815509
mfeat-morphological,RW-FT-Transformer,0.755,0.026362852652928127,0.7356759481757772,0.027583871164501162,0.9671249999999999,0.0061941112267127575
mfeat-morphological,RTDL-ResNet,0.737,0.03887158345115363,0.7241859995268514,0.04031574370024873,0.9667749999999999,0.0068792097100297935
mfeat-morphological,RW-ResNet,0.7414999999999999,0.02775337817275586,0.7308302614795614,0.03223410441476834,0.9670166666666666,0.006140311549581639
mfeat-morphological,NODE,0.7070000000000001,0.023259406699226007,0.6954974179517166,0.024141794234887184,0.9635083333333334,0.005898721482105819
mfeat-morphological,RW-NODE,0.7405,0.03157926534927626,0.7334526886171688,0.031244221522238953,0.9666416666666668,0.005462278755018897
mfeat-zernike,XGBoost,0.774,0.028530685235374213,0.773842778769305,0.028505055926458637,0.9684250000000001,0.0037184277923490304
mfeat-zernike,CatBoost,0.7595000000000001,0.026874709300753374,0.7542645677704324,0.028793459927795063,0.9747972222222223,0.0024190617122969867
mfeat-zernike,LightGBM,0.7745000000000001,0.018364367672206974,0.7777833505633488,0.019227349452478528,0.9675027777777776,0.0047154109374096245
mfeat-zernike,RandomForest,0.768,0.02204540768504862,0.7640012102869395,0.024393947412548335,0.9725513888888889,0.0036571005790191325
mfeat-zernike,MLP,0.8299999999999998,0.013416407864998729,0.8278014939537762,0.014885445201350373,0.9825805555555556,0.0017825651685834199
mfeat-zernike,RW-MLP,0.8324999999999999,0.017642278764377347,0.8223494660215479,0.017980136390838453,0.9824111111111111,0.002028987462616969
mfeat-zernike,Linear-MLP,0.8344999999999999,0.01980530232033834,0.8238526936453259,0.016395344225120404,0.9827861111111111,0.0020344278323249356
mfeat-zernike,FT-Transformer,0.8254999999999999,0.014908051515875561,0.8125812272461538,0.012796448631732495,0.9812000000000001,0.0019301378444985394
mfeat-zernike,RW-FT-Transformer,0.8355,0.018090052515125524,0.8192625639755224,0.02351496622829991,0.9814611111111111,0.0027159565079519386
