Dataset,Method,R²,R² std,RMSE,RMSE std,MAE,MAE std,Spearman,Spearman std
analcatdata_supreme,Linear-MLP,0.8695114958007781,0.014812650380890285,138648.62098587217,11826.894885774162,76341.13913077148,4140.88273526706,0.9372500079644087,0.00677508768129741
analcatdata_supreme,Identity-MLP,0.8794921040370329,0.020642461778457917,132662.5395061542,10950.283988025267,76000.71661207205,3403.294557533563,0.9363695292211162,0.005576361760531254
analcatdata_supreme,NoAct-MLP,0.8831127136994077,0.01871766827898417,130805.30710419195,10541.67648564523,72419.70354324607,3329.563413766395,0.942947710105229,0.004466443373436629
analcatdata_supreme,IdentityNoAct-MLP,0.876548870393924,0.019688815473162515,134511.3046720245,12499.160047130126,75414.49518276987,3710.6091939985554,0.939461442189591,0.005433231226931381
analcatdata_supreme,RW-MLP,0.8825409737668405,0.019530059394701024,130978.30396840067,11148.524734670378,72804.24047201066,4924.954591685752,0.9421537038327628,0.004095488245679613
elevators,MLP,0.9211004102923808,0.006425535172990757,0.001889029104035388,5.2134815302534245e-05,0.0014021196715774545,3.170776940528113e-05,0.8355742160897714,0.009263190238397204
elevators,Linear-MLP,0.91828972839378,0.007216438423755353,0.0019219645397039794,5.471830509128089e-05,0.0014255687624865124,3.5393411173921074e-05,0.8286364590243573,0.011768041700472475
elevators,Identity-MLP,0.9176457671022746,0.0066951959533644795,0.0019300968563401653,5.65462125210509e-05,0.0014261682634686018,3.3991545653755436e-05,0.830163554779282,0.010666919187460268
elevators,NoAct-MLP,0.921801178125442,0.00553467193432823,0.0018815957699931916,5.722856239837476e-05,0.0013953620416772966,3.9290081817436525e-05,0.8352994059193286,0.01039815341201449
elevators,IdentityNoAct-MLP,0.9210758133316366,0.006030161808505633,0.0018895393560166747,4.663729364840378e-05,0.0013961053987492948,3.499143674562884e-05,0.8354099585244359,0.010584013216630325
elevators,RW-MLP,0.9216659247692119,0.0058284649853463716,0.0018828656277348466,5.52941450235729e-05,0.0013891854237625333,4.5343305642021033e-05,0.8369093104645667,0.010311982501784686
kin8nm,MLP,0.9316548270239808,0.003973881508383037,0.06821021340258873,0.002002296680543155,0.052887205923221825,0.0016216511420621765,0.9674377854699294,0.002177046018181448
kin8nm,Linear-MLP,0.9117794674909334,0.005827660621271613,0.0774930816871914,0.002719290549251578,0.06127784001578751,0.002119794843003538,0.9560183527789956,0.003677153436335813
kin8nm,Identity-MLP,0.921743313988817,0.0058024146743332426,0.07296490615061839,0.0026101652153197024,0.057410090086465713,0.0021363230900825385,0.9614258324189698,0.003111770780245378
kin8nm,NoAct-MLP,0.9340087091799836,0.003305183765430343,0.06703439089989587,0.0017487075257228122,0.05210034848119523,0.0015887081112876025,0.9680258639986514,0.0020861531161191727
kin8nm,IdentityNoAct-MLP,0.9329267062867753,0.004054819195340159,0.06757511081990308,0.0022341129418167473,0.052610939728403326,0.0018072913668016415,0.9677678791109763,0.002293930261018501
kin8nm,RW-MLP,0.9331126150085061,0.003821120700085032,0.06748151046590589,0.001993700833323637,0.0523930164925354,0.0016927081667492642,0.9676851647209033,0.0019344230158987329
houses,MLP,0.8115994697925302,0.008271084972293773,49889.946664396135,1193.3232766281121,33306.65946760237,615.2769596196297,0.9083404480437347,0.0043739757164751505
houses,Linear-MLP,0.8028500112869924,0.009018833557710701,51032.40095101943,1185.3412525760348,34066.91866248912,691.8207791002357,0.902037165014602,0.005577036057956191
houses,Identity-MLP,0.7979161723011112,0.009067150149774762,51664.984734132486,1070.1570800880904,34754.15362947286,571.900363510611,0.9000987107246845,0.003958132670381582
houses,NoAct-MLP,0.8127144197681403,0.007462722686828976,49739.97215309321,885.0583345246692,33106.99938488313,631.8712829886181,0.9090447095994232,0.005172357934031704
